Size,Time
57800,2426
57900,2431
58000,2449
58100,2468
58200,2502
58300,2486
58400,2471
58500,2484
58600,2551
58700,2554
58800,3241
58900,2508
59000,2532
59100,2536
59200,2532
59300,2546
59400,2546
59500,2527
59600,2545
59700,2541
59800,2545
59900,2551
60000,2540
60100,2558
60200,2571
60300,2579
60400,2611
60500,2596
60600,2567
60700,2659
60800,2602
60900,2598
61000,2592
61100,2580
61200,2598
61300,2683
61400,2585
61500,2600
61600,2634
61700,2618
61800,2651
61900,3224
62000,2651
62100,2650
62200,2651
62300,2679
62400,2671
62500,2677
62600,2663
62700,2676
62800,2668
62900,2668
63000,2681
63100,2692
63200,2659
63300,2682
63400,2671
63500,2718
63600,2718
63700,2730
63800,2695
63900,2721
64000,2707
64100,2665
64200,2702
64300,2676
64400,2729
64500,2705
64600,2701
64700,2736
64800,2767
64900,2719
65000,2752
65100,2725
65200,2765
65300,2773
65400,2711
65500,2733
65600,2810
65700,2724
65800,2662
65900,2795
66000,2743
66100,2807
66200,2771
66300,2711
66400,2815
66500,2809
66600,2867
66700,2699
66800,2835
66900,2832
67000,2837
67100,2836
67200,2851
67300,2882
67400,2795
67500,2894
67600,2875
67700,2875
67800,2895
67900,2897
68000,2899
68100,2916
68200,2910
68300,2934
68400,2960
68500,2916
68600,2954
68700,2976
68800,2941
68900,2959
69000,2966
69100,2954
69200,2960
69300,2990
69400,2955
69500,2960
69600,3002
69700,3006
69800,3014
69900,3019
70000,3022
70100,3037
70200,3016
70300,3052
70400,3040
70500,3029
70600,3029
70700,3048
70800,3068
70900,3088
71000,3059
71100,3097
71200,3096
71300,3095
71400,3078
71500,3073
71600,3111
71700,3094
71800,3107
71900,3117
72000,3112
72100,3138
72200,3131
72300,3144
72400,3119
72500,3102
72600,3191
72700,3130
72800,3127
72900,3264
73000,3111
73100,3128
73200,3169
73300,3128
73400,3125
73500,3155
73600,3139
73700,3140
73800,3153
73900,3134
74000,3176
74100,3138
74200,3146
74300,3137
74400,3172
74500,3183
74600,3195
74700,3174
74800,3213
74900,3204
75000,3200
75100,3197
75200,3204
75300,3216
75400,3248
75500,3235
75600,3238
75700,3252
75800,3252
75900,3260
76000,3285
76100,3321
76200,3271
76300,3310
76400,3296
76500,3304
76600,3289
76700,3304
76800,3309
76900,3303
77000,3338
77100,3328
77200,3300
77300,3311
77400,3309
77500,3322
77600,3321
77700,3308
77800,3311
77900,3337
78000,3352
78100,3372
78200,3337
78300,3336
78400,3327
78500,3356
78600,3398
78700,3338
78800,3364
78900,3402
79000,3404
79100,3425
79200,3388
79300,3376
79400,3377
79500,3390
79600,3355
79700,3389
79800,3402
79900,3388
80000,3390
80100,3388
80200,3407
80300,3403
80400,3440
80500,3430
80600,3422
80700,3409
80800,3430
80900,3456
81000,3454
81100,3478
81200,3472
81300,3435
81400,3431
81500,3461
81600,3471
81700,3429
81800,3437
81900,3473
82000,3455
82100,3453
82200,3465
82300,3494
82400,3527
82500,3543
82600,3535
82700,3553
82800,3560
82900,3552
83000,3546
83100,3600
83200,3618
83300,3628
83400,3641
83500,3578
83600,3623
83700,3626
83800,3632
83900,3645
84000,3664
84100,3621
84200,3597
84300,3643
84400,3621
84500,3663
84600,3621
84700,3667
84800,3635
84900,3659
85000,3704
85100,3690
85200,3668
85300,3686
85400,3762
85500,3694
85600,3678
85700,3696
85800,3681
85900,3717
86000,3669
86100,3722
86200,3688
86300,3725
86400,3829
86500,3722
86600,3727
86700,3775
86800,3764
86900,3755
87000,3741
87100,3738
87200,3783
87300,3718
87400,3967
87500,3769
87600,3764
87700,3780
87800,3748
87900,3774
88000,3792
88100,3839
88200,3862
88300,3796
88400,3790
88500,4649
88600,3864
88700,3820
88800,3814
88900,3843
89000,3820
89100,3857
89200,3836
89300,3876
89400,3819
89500,3832
89600,3888
89700,3832
89800,3883
89900,3847
90000,3873
90100,3864
90200,3866
90300,3875
90400,3911
90500,3923
