Size,Time
56600,3673
56700,3682
56800,3686
56900,3683
57000,3690
57100,3686
57200,3701
57300,3713
57400,3710
57500,3716
57600,3733
57700,3811
57800,3744
57900,3750
58000,3752
58100,3777
58200,3792
58300,3813
58400,3782
58500,3796
58600,3801
58700,3809
58800,3814
58900,3826
59000,3807
59100,3827
59200,3843
59300,3821
59400,3858
59500,3845
59600,3854
59700,3862
59800,3867
59900,3892
60000,3874
60100,3982
60200,3897
60300,3889
60400,3904
60500,3915
60600,3950
60700,3925
60800,3921
60900,3928
61000,3934
61100,3943
61200,3956
61300,3959
61400,3994
61500,3969
61600,3959
61700,3973
61800,4102
61900,3997
62000,4026
62100,3987
62200,3998
62300,4015
62400,4028
62500,4031
62600,4019
62700,4018
62800,4039
62900,4085
63000,4048
63100,4061
63200,4069
63300,4096
63400,4094
63500,4092
63600,4085
63700,4094
63800,4103
63900,4140
64000,4131
64100,4122
64200,4124
64300,4153
64400,4136
64500,4134
64600,4140
64700,4148
64800,4164
64900,4159
65000,4162
65100,4162
65200,4177
65300,4181
65400,4160
65500,4183
65600,4109
65700,4202
65800,4105
65900,4210
66000,4222
66100,4235
66200,4273
66300,4177
66400,4280
66500,4284
66600,4175
66700,4218
66800,4302
66900,4313
67000,4314
67100,4330
67200,4367
67300,4363
67400,4233
67500,4351
67600,4350
67700,4363
67800,4367
67900,4362
68000,4368
68100,4373
68200,4376
68300,4383
68400,4402
68500,4402
68600,4405
68700,4403
68800,4417
68900,4460
69000,4427
69100,4429
69200,4420
69300,4440
69400,4451
69500,4456
69600,4446
69700,4455
69800,4480
69900,4509
70000,4482
70100,4498
70200,4497
70300,4507
70400,4508
70500,4506
70600,4530
70700,4533
70800,4528
70900,4538
71000,4543
71100,4572
71200,4551
71300,4561
71400,4569
71500,4592
71600,4588
71700,4590
71800,4586
71900,4584
72000,4926
72100,4630
72200,4612
72300,4609
72400,4615
72500,4617
72600,4636
72700,4629
72800,4644
72900,4650
73000,4643
73100,4646
73200,4674
73300,4641
73400,4663
73500,4650
73600,4708
73700,4684
73800,4696
73900,4687
74000,4698
74100,4698
74200,4715
74300,4724
74400,4722
74500,4732
74600,4742
74700,4742
74800,4756
74900,4768
75000,4782
75100,4779
75200,4806
75300,4787
75400,4803
75500,4818
75600,4795
75700,4814
75800,4819
75900,4828
76000,4830
76100,4840
76200,4854
76300,4830
76400,4850
76500,4843
76600,4847
76700,4833
76800,4867
76900,4858
77000,4854
77100,4869
77200,4941
77300,4883
77400,4879
77500,4872
77600,4880
77700,4893
77800,4896
77900,4896
78000,4910
78100,4922
78200,4921
78300,4934
78400,4934
78500,4954
78600,4982
78700,4980
78800,4985
78900,4995
79000,4996
79100,5015
79200,5009
79300,5013
79400,5021
79500,5030
79600,5023
79700,5051
79800,5029
79900,5053
80000,5061
80100,5059
80200,5054
80300,5076
80400,5074
80500,5087
80600,5099
80700,5393
80800,5085
80900,5105
81000,5081
81100,5100
81200,5117
81300,5125
81400,5121
81500,5125
81600,5128
81700,5123
81800,5138
81900,5141
82000,5164
82100,5174
82200,5184
82300,5208
82400,5257
82500,5235
82600,5244
82700,5258
82800,5277
82900,5306
83000,5320
83100,5325
83200,5350
83300,5354
83400,5350
83500,5402
83600,5386
83700,5395
83800,5406
83900,5411
84000,5428
84100,5431
84200,5446
84300,5470
84400,5477
84500,5489
84600,5501
84700,5532
84800,5882
84900,5529
85000,5656
85100,5559
85200,5604
85300,5574
85400,5615
85500,5616
85600,5615
85700,5642
85800,5656
85900,5704
86000,5669
86100,5689
86200,5692
86300,7102
86400,5762
86500,5733
86600,5726
86700,5743
86800,5767
86900,5781
87000,5793
87100,5800
87200,5804
87300,5867
87400,5846
87500,5834
87600,5843
87700,5868
87800,5876
87900,5875
88000,5881
88100,5911
88200,5918
88300,5924
88400,5944
88500,6004
88600,5974
88700,5989
88800,6002
88900,5996
89000,6002
89100,6005
89200,6049
89300,6056
89400,6048
89500,6082
89600,6075
89700,6081
89800,6083
89900,6094
90000,6110
90100,6119
90200,6122
90300,6138
90400,6133
90500,6139
90600,6152
90700,6171
90800,6174
90900,6304
91000,6201
91100,6200
91200,6196
91300,6207
91400,6240
91500,6219
91600,6252
91700,6236
91800,6251
91900,6252
92000,6274
92100,6274
92200,6397
92300,6303
92400,6295
92500,6284
92600,6319
92700,6329
92800,6303
92900,7967
93000,7343
93100,6465
93200,6416
93300,6359
93400,6353
93500,6356
93600,6362
93700,6369
93800,6388
93900,6366
94000,6377
94100,6383
94200,6463
94300,6384
94400,6389
94500,6432
94600,6450
94700,6425
94800,6427
94900,6436
95000,6432
95100,6448
95200,6440
95300,6489
95400,6470
95500,6463
95600,6470
95700,6487
95800,6481
95900,6480
96000,6481
96100,6497
96200,6502
96300,6507
96400,6540
96500,6517
96600,6546
96700,6525
96800,6563
96900,6539
97000,6544
97100,6538
97200,6567
97300,6548
97400,6560
97500,6584
97600,6611
97700,6566
97800,6572
97900,6631
98000,6592
98100,6592
98200,6594
98300,6736
98400,6615
98500,6611
98600,6632
98700,6630
98800,6638
98900,6658
99000,6653
99100,6664
99200,6724
99300,6729
99400,6721
99500,6716
99600,6750
99700,6722
99800,6718
99900,6711
100000,6739
