Size,Time
57700,2490
57800,2516
57900,2477
58000,2491
58100,2510
58200,2505
58300,2552
58400,2509
58500,2523
58600,2520
58700,2527
58800,2528
58900,2546
59000,2777
59100,2556
59200,2566
59300,2564
59400,2574
59500,2566
59600,2596
59700,2607
59800,2597
59900,2579
60000,2572
60100,3360
60200,2642
60300,2637
60400,2661
60500,2601
60600,2596
60700,2659
60800,2636
60900,2672
61000,2663
61100,2672
61200,2641
61300,2670
61400,2656
61500,2674
61600,2654
61700,2645
61800,2688
61900,2756
62000,2670
62100,2674
62200,2680
62300,2684
62400,2701
62500,2708
62600,2751
62700,2725
62800,2695
62900,2690
63000,2725
63100,2689
63200,2753
63300,2723
63400,2707
63500,2713
63600,2719
63700,2775
63800,2749
63900,2759
64000,2737
64100,2738
64200,2731
64300,2747
64400,2759
64500,2751
64600,2754
64700,2780
64800,2786
64900,2800
65000,2802
65100,2757
65200,2820
65300,2764
65400,2763
65500,2776
65600,2675
65700,2763
65800,2698
65900,2806
66000,2851
66100,2840
66200,3067
66300,2873
66400,2884
66500,2866
66600,2871
66700,2765
66800,2870
66900,2876
67000,2896
67100,2895
67200,2905
67300,2917
67400,2818
67500,2926
67600,2925
67700,2935
67800,2950
67900,2962
68000,2992
68100,2985
68200,2958
68300,2980
68400,3010
68500,2956
68600,3034
68700,3003
68800,2988
68900,2993
69000,3039
69100,3005
69200,3006
69300,3050
69400,3020
69500,3049
69600,3046
69700,3044
69800,3100
69900,3059
70000,3052
70100,3092
70200,3075
70300,3112
70400,3114
70500,3086
70600,3097
70700,3115
70800,3157
70900,3130
71000,3115
71100,3156
71200,3164
71300,3145
71400,3128
71500,3511
71600,3127
71700,3188
71800,3186
71900,3155
72000,3175
72100,3191
72200,3220
72300,3196
72400,3170
72500,3170
72600,3171
72700,3198
72800,3186
72900,3196
73000,3212
73100,3213
73200,3237
73300,3209
73400,3206
73500,3231
73600,3222
73700,3265
73800,3238
73900,3241
74000,3515
74100,3264
74200,3303
74300,3240
74400,3267
74500,3292
74600,3273
74700,3280
74800,3264
74900,3274
75000,3312
75100,3274
75200,3306
75300,3319
75400,3352
75500,3336
75600,3313
75700,3364
75800,3371
75900,3351
76000,3351
76100,3652
76200,3374
76300,3385
76400,3740
76500,3390
76600,3386
76700,3368
76800,3418
76900,3404
77000,3382
77100,3388
77200,3400
77300,3429
77400,3429
77500,3442
77600,3440
77700,3426
77800,3457
77900,3455
78000,3459
78100,3478
78200,3489
78300,3476
78400,3492
78500,3488
78600,3491
