Size,Time
55600,5077
55700,5136
55800,5096
55900,5100
56000,5113
56100,5099
56200,5120
56300,5123
56400,5098
56500,5138
56600,5143
56700,5162
56800,5159
56900,5158
57000,5183
57100,5192
57200,5197
57300,5181
57400,5136
57500,5235
57600,5228
57700,5226
57800,5244
57900,5262
58000,5259
58100,5306
58200,5317
58300,5346
58400,5283
58500,5347
58600,5352
58700,5357
58800,5372
58900,5385
59000,5396
59100,5418
59200,5440
59300,5400
59400,5396
59500,5445
59600,5433
59700,5470
59800,5453
59900,5463
60000,5465
60100,5482
60200,5482
60300,5516
60400,5521
60500,5476
60600,5528
60700,5558
60800,5573
60900,5562
61000,5559
61100,5598
61200,5554
61300,5657
61400,5634
61500,5562
61600,5677
61700,5642
61800,5640
61900,6971
62000,5691
62100,5667
62200,5664
62300,5749
62400,5719
62500,5655
62600,5709
62700,5737
62800,5732
62900,5753
63000,5739
63100,5747
63200,5755
63300,5818
63400,5753
63500,6279
63600,5887
63700,5829
63800,5815
63900,5832
64000,5861
64100,5854
64200,5867
64300,5850
64400,5888
64500,5874
64600,5849
64700,5922
64800,5930
64900,5925
65000,5949
65100,5931
65200,5965
65300,5941
65400,5950
65500,5949
65600,5911
65700,5994
65800,5979
65900,5991
66000,6021
66100,6046
66200,6090
66300,6274
66400,6118
66500,6110
66600,6099
66700,6099
66800,6113
66900,6109
67000,6140
67100,6148
67200,6405
67300,6176
67400,6187
67500,6206
67600,6163
67700,6227
67800,6258
67900,6281
68000,6312
68100,6285
68200,6276
68300,6301
68400,6279
68500,6299
68600,6323
68700,6298
68800,6344
68900,6358
69000,6367
69100,6377
69200,6380
69300,6395
69400,6428
69500,6429
69600,6422
69700,6394
69800,6451
69900,6505
70000,6464
70100,6476
70200,6492
70300,6521
70400,6542
70500,6545
70600,6537
70700,6519
70800,6708
70900,6563
71000,6586
71100,6589
71200,6586
71300,6596
71400,6615
71500,6634
71600,6652
71700,6620
71800,6672
71900,6666
72000,6646
72100,6716
72200,6716
72300,6707
72400,6703
72500,6691
72600,6687
72700,6652
72800,6718
72900,6712
73000,6722
73100,6716
73200,6977
73300,6734
73400,6727
73500,6822
73600,6758
73700,6744
73800,6889
73900,6778
74000,6816
74100,6863
74200,6820
74300,6851
74400,6896
74500,6860
74600,6885
74700,6909
74800,6848
74900,6892
75000,6913
75100,6930
75200,6934
75300,6947
75400,6961
75500,6977
75600,6967
75700,6983
75800,6961
75900,7016
76000,7025
76100,7032
76200,7139
76300,7046
76400,7055
76500,7075
76600,7146
76700,7072
76800,7570
76900,7092
77000,7098
77100,7122
77200,7103
77300,7119
77400,7137
77500,7147
77600,7152
77700,7170
77800,7173
77900,7145
78000,7167
78100,7211
78200,7233
78300,7204
78400,7219
78500,7231
78600,7237
78700,7280
78800,7258
78900,7238
79000,7320
79100,7308
79200,7304
79300,7316
79400,7326
79500,7308
79600,7334
79700,7337
79800,7375
79900,7305
80000,7365
80100,7389
80200,7367
80300,7417
80400,7392
80500,7424
80600,7434
80700,7422
80800,7495
80900,7429
81000,7446
81100,7476
81200,7804
81300,7503
81400,7504
81500,7490
81600,7483
81700,7497
81800,7483
81900,7526
82000,7465
82100,7528
82200,7556
82300,7551
82400,7575
82500,7594
82600,7603
82700,7617
82800,7636
82900,7612
83000,7605
83100,7664
83200,7684
83300,7693
83400,7717
83500,7713
83600,7724
83700,7781
83800,7739
83900,7857
84000,7773
84100,7801
84200,7772
84300,7823
84400,7822
84500,7839
84600,7831
84700,8000
84800,7862
84900,7886
85000,7827
85100,7911
85200,7929
85300,7895
85400,7924
85500,8001
85600,8049
85700,7937
85800,7932
85900,7971
86000,7978
86100,7934
86200,7969
86300,8004
86400,9899
86500,8030
86600,8040
86700,8061
86800,8048
86900,8087
87000,8066
87100,8013
87200,8067
87300,8089
87400,8501
87500,8142
87600,8125
87700,8152
87800,8153
87900,8175
88000,8171
88100,8132
88200,8170
88300,8325
88400,8167
88500,8414
88600,8342
88700,8247
88800,8213
88900,8233
89000,8266
89100,8216
89200,8251
89300,8261
89400,8312
89500,8289
89600,8288
89700,8283
89800,8343
89900,8282
90000,8314
90100,8302
90200,8288
90300,8339
90400,8367
90500,8377
90600,8409
90700,8411
90800,8428
90900,8440
91000,8463
91100,8434
91200,8416
91300,8484
91400,8514
91500,8497
91600,8481
91700,8520
91800,8510
91900,8519
92000,8516
92100,8528
92200,8494
92300,8644
92400,8585
92500,8602
92600,8656
92700,8592
92800,8615
92900,8622
93000,11355
93100,8654
93200,9625
93300,8988
93400,8691
93500,8687
93600,8708
93700,8685
93800,8746
93900,8695
94000,8689
94100,8743
94200,8725
94300,8662
94400,8709
94500,8724
94600,8755
94700,8722
94800,8787
94900,8759
95000,8776
95100,8772
95200,8795
95300,8761
95400,8818
95500,8900
95600,8834
95700,8875
95800,8856
95900,8870
96000,9159
96100,8862
96200,8888
96300,9030
96400,8870
96500,8873
96600,8892
96700,8970
96800,8913
96900,8931
97000,8914
97100,8954
97200,8957
97300,8935
97400,8965
97500,8962
97600,8964
97700,8966
97800,9007
97900,8994
98000,8997
98100,9001
98200,9055
98300,8987
98400,9042
98500,9058
98600,9067
98700,9065
98800,9082
98900,9099
99000,9136
99100,9129
99200,9196
99300,9210
99400,9116
99500,9191
99600,9198
99700,9224
99800,9234
99900,9223
100000,9239
