Size,Time
61500,1219
61600,1222
61700,1230
61800,1251
61900,1245
62000,1240
62100,1249
62200,1253
62300,1288
62400,1273
62500,1266
62600,1252
62700,1260
62800,1262
62900,1270
63000,1260
63100,1260
63200,1271
63300,1261
63400,1284
63500,1284
63600,1315
63700,1290
63800,1279
63900,1303
64000,1300
64100,1276
64200,1286
64300,1270
64400,1268
64500,1279
64600,1280
64700,1274
64800,1280
64900,1290
65000,1276
65100,1283
65200,1301
65300,1297
65400,1286
65500,1276
65600,1203
65700,1302
65800,1201
65900,1302
66000,1303
66100,1308
66200,1571
66300,1232
66400,1329
66500,1614
66600,1231
66700,1231
66800,1334
66900,1332
67000,1348
67100,1338
67200,1345
67300,1343
67400,1235
67500,1341
67600,1344
67700,1352
67800,1351
67900,1357
68000,1358
68100,1380
68200,1354
68300,1353
68400,1352
68500,1356
68600,1360
68700,1373
68800,1362
68900,1364
69000,1368
69100,1362
69200,1365
69300,1369
69400,1371
69500,1364
69600,1379
69700,1382
69800,1382
69900,1385
70000,1392
70100,1397
70200,1399
70300,1393
70400,1390
70500,1399
70600,1410
70700,1416
70800,1411
70900,1420
71000,1421
71100,1415
71200,1428
71300,1466
71400,1414
71500,1434
71600,1413
71700,1425
71800,1442
71900,1433
72000,1598
72100,1435
72200,1462
72300,1435
72400,1448
72500,1444
72600,1430
72700,1445
72800,1433
72900,1445
73000,1439
73100,1438
73200,1445
73300,1447
73400,1446
73500,1445
73600,1452
73700,1576
73800,1474
73900,1458
74000,1483
74100,1466
74200,1481
74300,1476
74400,1475
74500,1482
74600,1475
74700,1476
74800,1491
74900,1492
75000,1509
75100,1512
75200,1506
75300,1499
75400,1498
75500,1498
75600,1496
75700,1504
75800,1496
75900,1501
76000,1515
76100,1521
76200,1510
76300,1512
76400,1502
76500,1521
76600,1504
76700,1506
76800,1505
76900,1572
77000,1526
77100,1514
77200,1508
77300,1515
77400,1523
77500,1511
77600,1517
77700,1514
77800,1527
77900,1519
78000,1528
78100,1544
78200,1534
78300,1542
78400,1539
78500,1542
78600,1545
78700,1554
78800,1553
78900,1551
79000,1570
79100,1571
79200,1564
79300,1568
79400,1570
79500,1559
79600,1562
79700,1562
79800,1566
79900,1579
80000,1577
80100,1587
80200,1578
80300,1586
80400,1595
80500,1634
80600,1585
80700,1594
80800,1592
80900,1598
81000,1593
81100,1590
81200,1603
81300,1588
81400,1592
81500,1594
81600,1605
81700,1597
81800,1599
81900,1600
82000,1603
82100,1610
82200,1622
82300,1628
82400,1637
82500,1636
82600,1644
82700,1661
82800,1661
82900,1661
83000,1673
83100,1672
83200,1677
83300,1686
83400,1701
83500,1689
83600,1701
83700,1703
83800,1710
83900,1732
84000,1724
84100,1723
84200,1742
84300,1719
84400,1739
84500,1739
84600,1726
84700,1749
84800,1758
84900,1751
85000,1776
85100,1756
85200,1765
85300,1775
85400,1778
85500,1768
85600,1777
85700,1777
85800,1772
85900,1946
86000,1838
86100,1803
86200,1817
86300,2894
86400,1856
86500,1825
86600,1832
86700,1842
86800,1855
86900,2470
87000,1850
87100,1860
87200,1873
87300,2060
87400,1877
87500,1877
87600,1870
87700,1874
87800,1905
87900,1885
88000,1884
88100,1909
88200,1918
88300,1912
88400,1908
88500,1932
88600,1927
88700,1932
88800,1938
88900,1932
89000,1938
89100,1945
89200,1986
89300,1949
89400,1954
89500,1947
89600,1958
89700,1954
89800,1966
89900,2307
90000,1986
